
seed 1: the charge starts 69,886 from the station, 4,181 from the commander
   t  | charge: phase     flee  speed  to-station | commander: to-charge  energy  shields   course     | hostile
 530 | arriving  true    160     28,219 |        378     255  255/255  mission   | false
 540 | arriving  true    160     27,891 |        374     255  255/255  mission   | false
 550 | arriving  true    160     27,823 |        372     255  255/255  mission   | false
 560 | arriving  true    160     28,035 |        374     255  255/255  mission   | false
 570 | arriving  true    160     28,425 |        380     255  255/255  mission   | false
 580 | arriving  true    160     28,824 |        376     255  255/255  mission   | false
 590 | arriving  true    160     29,015 |        371     255  255/255  mission   | false
  still going at 600 s; nearest 67; 0 energy drops within 200 units of the charge

seed 0: the charge starts 73,667 from the station, 5,329 from the commander
   t  | charge: phase     flee  speed  to-station | commander: to-charge  energy  shields   course     | hostile
   0 | arriving  false   136     73,665 |      5,330     255  255/255  mission   | false
  10 | arriving  false   136     72,306 |      1,798     255  255/255  mission   | false
  20 | arriving  false   136     70,946 |        624     255  255/255  mission   | false
  30 | arriving  false   136     69,586 |        621     255  255/255  mission   | false
  40 | arriving  false   136     68,226 |        715     255  255/255  mission   | false
  50 | arriving  false   136     66,866 |        655     255  255/255  mission   | false
  60 | arriving  false   136     65,506 |        601     255  255/255  mission   | false
  70 | arriving  false   136     64,146 |        692     255  255/255  mission   | false
  80 | arriving  false   136     62,786 |        697     255  255/255  mission   | false
  90 | arriving  false   136     61,426 |        605     255  255/255  mission   | false
 100 | arriving  false   136     60,066 |        649     255  255/255  mission   | false
 110 | arriving  false   136     58,706 |        716     255  255/255  mission   | false
 120 | arriving  false   136     57,346 |        628     255  255/255  mission   | false
 130 | arriving  false   136     55,986 |        613     255  255/255  mission   | false
 140 | arriving  false   136     54,626 |        711     255  255/255  mission   | false
 150 | arriving  false   136     53,266 |        669     255  255/255  mission   | false
 160 | arriving  false   136     51,906 |        600     255  255/255  mission   | false
 170 | arriving  false   136     50,546 |        681     255  255/255  mission   | false
 180 | arriving  false   136     49,186 |        705     255  255/255  mission   | false
 190 | arriving  false   136     47,826 |        610     255  255/255  mission   | false
 200 | arriving  false   136     46,466 |        636     255  255/255  mission   | false
 210 | arriving  false   136     45,106 |        717     255  255/255  mission   | false
 220 | arriving  false   136     43,746 |        639     255  255/255  mission   | false
 230 | arriving  false   136     42,386 |        606     255  255/255  mission   | false
 240 | arriving  false   136     41,026 |        704     255  255/255  mission   | false
 250 | arriving  false   136     39,666 |        683     255  255/255  mission   | false
 260 | arriving  false   136     38,306 |        601     255  255/255  mission   | false
 270 | arriving  false   136     36,946 |        667     255  255/255  mission   | false
 280 | arriving  false   136     35,586 |        711     255  255/255  mission   | false
 290 | arriving  false   136     34,226 |        617     255  255/255  mission   | false
 300 | arriving  false   136     32,866 |        625     255  255/255  mission   | false
 310 | arriving  false   136     31,506 |        716     255  255/255  mission   | false
 320 | arriving  false   136     30,146 |        651     255  255/255  mission   | false
 330 | arriving  false   136     28,786 |        602     255  255/255  mission   | false
 340 | arriving  false   136     27,426 |        696     255  255/255  mission   | false
 350 | arriving  false   136     26,066 |        694     255  255/255  mission   | false
 360 | arriving  false   136     24,706 |        604     255  255/255  mission   | false
 370 | arriving  false   136     23,346 |        654     255  255/255  mission   | false
 380 | arriving  false   136     21,986 |        715     255  255/255  mission   | false
 390 | arriving  false   136     20,626 |        625     255  255/255  mission   | false
 400 | arriving  false   136     19,266 |        615     255  255/255  mission   | false
 410 | arriving  false   136     17,906 |        712     255  255/255  mission   | false
 420 | arriving  false   136     16,546 |        664     255  255/255  mission   | false
 430 | arriving  false   136     15,186 |        600     255  255/255  mission   | false
 440 | arriving  false   136     13,826 |        685     255  255/255  mission   | false
 450 | arriving  false   136     12,466 |        703     255  255/255  mission   | false
 460 | arriving  false   136     11,106 |        608     255  255/255  mission   | false
 470 | arriving  false   136      9,746 |        640     255  255/255  mission   | false
 480 | arriving  false   136      8,386 |        717     255  255/255  mission   | false
 490 | arriving  false   136      7,026 |        635     255  255/255  mission   | false
 500 | arriving  false   136      5,666 |        608     255  255/255  mission   | false
 510 | arriving  false   136      4,306 |        707     255  255/255  mission   | false
 516 | arriving  false   136      3,499 |        696     255  255/255  mission   | false
  ESCORT COMPLETE at 516 s; nearest 540
